id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
MERCH-M-CAPTAIN-L_5841,"Captain America T-Shirt","Large",https://merchkart.com/wp-content/uploads/2019/07/preview-shirt-bellacanvas-3001-2765669-scene-01.png,https://merchkart.com/product/captain-america-t-shirt/?attribute_pa_size=l,"Clothing, Men, SuperHero, T-Shirt","MerchKart",28CAD,in stock,MERCH-M-CAPTAIN_3853,https://merchkart.com/shopping-cart/?add-to-cart=3853&variation_id=5841&attribute_pa_size=l,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-CAPTAIN-XL_5833,"Captain America Women T-Shirt","Extra Large",https://merchkart.com/wp-content/uploads/2019/07/preview-shirt-bellacanvas-3001-2765669-scene-04.png,https://merchkart.com/product/captain-america-women-t-shirt/?attribute_pa_size=xl,"Tshirts, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-CAPTAIN_4116,https://merchkart.com/shopping-cart/?add-to-cart=4116&variation_id=5833&attribute_pa_size=xl,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-CAPTAIN-L_5827,"Captain America Women T-Shirt","Large",https://merchkart.com/wp-content/uploads/2019/07/preview-shirt-bellacanvas-3001-2765669-scene-04.png,https://merchkart.com/product/captain-america-women-t-shirt/?attribute_pa_size=l,"Tshirts, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-CAPTAIN_4116,https://merchkart.com/shopping-cart/?add-to-cart=4116&variation_id=5827&attribute_pa_size=l,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-CAPTAIN-M_5829,"Captain America Women T-Shirt","Medium",https://merchkart.com/wp-content/uploads/2019/07/preview-shirt-bellacanvas-3001-2765669-scene-04.png,https://merchkart.com/product/captain-america-women-t-shirt/?attribute_pa_size=m,"Tshirts, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-CAPTAIN_4116,https://merchkart.com/shopping-cart/?add-to-cart=4116&variation_id=5829&attribute_pa_size=m,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-W-CAPTAIN-S_5831,"Captain America Women T-Shirt","Small",https://merchkart.com/wp-content/uploads/2019/07/preview-shirt-bellacanvas-3001-2765669-scene-04.png,https://merchkart.com/product/captain-america-women-t-shirt/?attribute_pa_size=s,"Tshirts, Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-CAPTAIN_4116,https://merchkart.com/shopping-cart/?add-to-cart=4116&variation_id=5831&attribute_pa_size=s,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-SLAY-M_5815,"Slay All Day Women T-Shirt","Medium",https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart.png,https://merchkart.com/product/slay-all-day-women-t-shirt/?attribute_pa_size=m,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-SLAY_4191,https://merchkart.com/shopping-cart/?add-to-cart=4191&variation_id=5815&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart-bare.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-W-SLAY-S_5817,"Slay All Day Women T-Shirt","Small",https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart.png,https://merchkart.com/product/slay-all-day-women-t-shirt/?attribute_pa_size=s,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-SLAY_4191,https://merchkart.com/shopping-cart/?add-to-cart=4191&variation_id=5817&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart-bare.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-SLAY-XL_5819,"Slay All Day Women T-Shirt","Extra Large",https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart.png,https://merchkart.com/product/slay-all-day-women-t-shirt/?attribute_pa_size=xl,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-SLAY_4191,https://merchkart.com/shopping-cart/?add-to-cart=4191&variation_id=5819&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart-bare.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-SLAY-L_5813,"Slay All Day Women T-Shirt","Large",https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart.png,https://merchkart.com/product/slay-all-day-women-t-shirt/?attribute_pa_size=l,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-SLAY_4191,https://merchkart.com/shopping-cart/?add-to-cart=4191&variation_id=5813&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/07/slay-merchkart-bare.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-CATGOGGLES-XL_5803,"Cat Goggles Tank Top For Women","Extra Large",https://merchkart.com/wp-content/uploads/2019/07/preview-scene-01.png,https://merchkart.com/product/cat-goggles-tank-top-for-women/?attribute_pa_size=xl,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-CATGOGGLES_4220,https://merchkart.com/shopping-cart/?add-to-cart=4220&variation_id=5803&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/07/cat-goggles-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/cat-goggles.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,23CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-CATGOGGLES-S_5801,"Cat Goggles Tank Top For Women","Small",https://merchkart.com/wp-content/uploads/2019/07/preview-scene-01.png,https://merchkart.com/product/cat-goggles-tank-top-for-women/?attribute_pa_size=s,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-CATGOGGLES_4220,https://merchkart.com/shopping-cart/?add-to-cart=4220&variation_id=5801&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/07/cat-goggles-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/cat-goggles.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,23CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-CATGOGGLES-M_5799,"Cat Goggles Tank Top For Women","Medium",https://merchkart.com/wp-content/uploads/2019/07/preview-scene-01.png,https://merchkart.com/product/cat-goggles-tank-top-for-women/?attribute_pa_size=m,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-CATGOGGLES_4220,https://merchkart.com/shopping-cart/?add-to-cart=4220&variation_id=5799&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/07/cat-goggles-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/cat-goggles.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,23CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-W-CATGOGGLES-L_5797,"Cat Goggles Tank Top For Women","Large",https://merchkart.com/wp-content/uploads/2019/07/preview-scene-01.png,https://merchkart.com/product/cat-goggles-tank-top-for-women/?attribute_pa_size=l,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-CATGOGGLES_4220,https://merchkart.com/shopping-cart/?add-to-cart=4220&variation_id=5797&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/07/cat-goggles-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/cat-goggles.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,23CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-GGBB-XL_5786,"Good Girl Gone Bad Women T-Shirt","Extra Large",https://merchkart.com/wp-content/uploads/2019/07/good-merchkart2.png,https://merchkart.com/product/good-girl-gone-bad-women-t-shirt/?attribute_pa_size=xl,"Clothing, T-shirts, Woman","MerchKart",28CAD,in stock,MERCH-W-GGBB_4159,https://merchkart.com/shopping-cart/?add-to-cart=4159&variation_id=5786&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/07/good-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/good-girl-tshirt-merchkart.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-GGBB-S_5784,"Good Girl Gone Bad Women T-Shirt","Small",https://merchkart.com/wp-content/uploads/2019/07/good-merchkart2.png,https://merchkart.com/product/good-girl-gone-bad-women-t-shirt/?attribute_pa_size=s,"Clothing, T-shirts, Woman","MerchKart",28CAD,in stock,MERCH-W-GGBB_4159,https://merchkart.com/shopping-cart/?add-to-cart=4159&variation_id=5784&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/07/good-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/good-girl-tshirt-merchkart.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-GGBB-M_5782,"Good Girl Gone Bad Women T-Shirt","Medium",https://merchkart.com/wp-content/uploads/2019/07/good-merchkart2.png,https://merchkart.com/product/good-girl-gone-bad-women-t-shirt/?attribute_pa_size=m,"Clothing, T-shirts, Woman","MerchKart",28CAD,in stock,MERCH-W-GGBB_4159,https://merchkart.com/shopping-cart/?add-to-cart=4159&variation_id=5782&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/07/good-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/good-girl-tshirt-merchkart.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-W-GGBB-L_5780,"Good Girl Gone Bad Women T-Shirt","Large",https://merchkart.com/wp-content/uploads/2019/07/good-merchkart2.png,https://merchkart.com/product/good-girl-gone-bad-women-t-shirt/?attribute_pa_size=l,"Clothing, T-shirts, Woman","MerchKart",28CAD,in stock,MERCH-W-GGBB_4159,https://merchkart.com/shopping-cart/?add-to-cart=4159&variation_id=5780&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/07/good-merchkart.png,https://merchkart.com/wp-content/uploads/2019/07/good-girl-tshirt-merchkart.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-BITCH-XL_4570,"Beautiful Talented Girl Tank Top","Extra Large",https://merchkart.com/wp-content/uploads/2019/08/bitch-women-small.jpg,https://merchkart.com/product/beautiful-talented-girl-tank-top/?attribute_pa_size=xl,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-BITCH_4253,https://merchkart.com/shopping-cart/?add-to-cart=4253&variation_id=4570&attribute_pa_size=xl,"https://merchkart.com/wp-content/uploads/2019/08/bitch-t-shirt-final.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:XL"
MERCH-W-BITCH-L_4564,"Beautiful Talented Girl Tank Top","size: L",https://merchkart.com/wp-content/uploads/2019/08/bitch-women-small.jpg,https://merchkart.com/product/beautiful-talented-girl-tank-top/?attribute_pa_size=l,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-BITCH_4253,https://merchkart.com/shopping-cart/?add-to-cart=4253&variation_id=4564&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/08/bitch-t-shirt-final.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:L"
MERCH-W-BITCH-M_4566,"Beautiful Talented Girl Tank Top","Large",https://merchkart.com/wp-content/uploads/2019/08/bitch-women-small.jpg,https://merchkart.com/product/beautiful-talented-girl-tank-top/?attribute_pa_size=m,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-BITCH_4253,https://merchkart.com/shopping-cart/?add-to-cart=4253&variation_id=4566&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/08/bitch-t-shirt-final.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,default,"size:M/L/S/XL:M"
MERCH-W-BITCH-S_4568,"Beautiful Talented Girl Tank Top","Small",https://merchkart.com/wp-content/uploads/2019/08/bitch-women-small.jpg,https://merchkart.com/product/beautiful-talented-girl-tank-top/?attribute_pa_size=s,"Clothing, Tank Top, Woman","MerchKart",29CAD,in stock,MERCH-W-BITCH_4253,https://merchkart.com/shopping-cart/?add-to-cart=4253&variation_id=4568&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/08/bitch-t-shirt-final.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,24CAD,new,published,,"size:M/L/S/XL:S"
MERCH-W-PATRIARCHY-S_4349,"Women Empowerment T-shirt | Slay Patriarchy","size: S",https://merchkart.com/wp-content/uploads/2019/08/sexism-merchkart.png,https://merchkart.com/product/women-empowerment-t-shirt-slay-patriarchy/?attribute_pa_size=s,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-PATRIARCHY_4246,https://merchkart.com/shopping-cart/?add-to-cart=4246&variation_id=4349&attribute_pa_size=s,"https://merchkart.com/wp-content/uploads/2019/08/patriarchy-merchkart.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S:S"
MERCH-W-PATRIARCHY-M_4347,"Women Empowerment T-shirt | Slay Patriarchy","Medium.",https://merchkart.com/wp-content/uploads/2019/08/sexism-merchkart.png,https://merchkart.com/product/women-empowerment-t-shirt-slay-patriarchy/?attribute_pa_size=m,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-PATRIARCHY_4246,https://merchkart.com/shopping-cart/?add-to-cart=4246&variation_id=4347&attribute_pa_size=m,"https://merchkart.com/wp-content/uploads/2019/08/patriarchy-merchkart.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,default,"size:M/L/S:M"
MERCH-W-PATRIARCHY-L_4345,"Women Empowerment T-shirt | Slay Patriarchy","Large",https://merchkart.com/wp-content/uploads/2019/08/sexism-merchkart.png,https://merchkart.com/product/women-empowerment-t-shirt-slay-patriarchy/?attribute_pa_size=l,"Clothing, T-shirts, Woman","MerchKart",29CAD,in stock,MERCH-W-PATRIARCHY_4246,https://merchkart.com/shopping-cart/?add-to-cart=4246&variation_id=4345&attribute_pa_size=l,"https://merchkart.com/wp-content/uploads/2019/08/patriarchy-merchkart.png",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,25CAD,new,published,,"size:M/L/S:L"
